numero_os,processo,tempo_total_segundos,status,inicio_atual,data_atualizacao
1614,Aviamento de capa,0.0,parado,,2025-10-01T12:58:38.630606
1614,Aviamento de miolo,0.0,parado,,2025-10-01T12:58:38.632480
1614,Encadernacao e Finalizacao,0.0,parado,,2025-10-01T12:58:38.634282
1614,Montagem de capa,0.0,parado,,2025-10-01T12:58:38.635283
1614,Montagem de Miolo,0.0,parado,,2025-10-01T12:58:38.636215
1614,Montagem do kit,0.0,parado,,2025-10-01T12:58:38.637137
1581,Montagem de capa,19422.268176,finalizado,,2025-10-02T21:08:35.357552
1581,Aviamento de capa,2615.038086,finalizado,,2025-10-02T19:47:01.693692
1581,Montagem de Miolo,9787.138089,finalizado,,2025-10-03T10:29:21.909884
1568,Encadernação e Finalização,31200.550648,finalizado,,2025-10-03T09:59:54.014848
1569,Encadernação e Finalização,44607.828532,finalizado,,2025-10-03T17:32:07.156127
1571,Encadernação e Finalização,30038.443727,finalizado,,2025-10-07T19:36:52.506088
1581,Encadernação e Finalização,4912.022697,finalizado,,2025-10-03T12:32:32.832743
1578,Montagem de capa,12989.966182,pausado,,2025-10-06T19:09:20.039322
1579,Montagem de capa,6446.591671,pausado,,2025-10-06T20:31:19.270894
1580,Montagem de capa,13661.181175000002,finalizado,,2025-10-06T21:28:40.918631
1583,Montagem de capa,11710.621232,pausado,,2025-10-06T14:43:59.793565
1579,Aviamento de capa,1101.693791,finalizado,,2025-10-06T16:46:54.388434
1578,Aviamento de capa,1131.30288,finalizado,,2025-10-06T18:14:31.404414
1583,Aviamento de capa,939.098124,finalizado,,2025-10-06T18:14:49.235331
1580,Aviamento de capa,1912.880479,finalizado,,2025-10-06T18:15:22.034187
1578,Aviamento de miolo,12029.555243,pausado,,2025-10-07T00:49:34.685208
1578,Montagem de Miolo,2586.067266,pausado,,2025-10-07T11:13:07.206756
1580,Montagem de Miolo,2787.667682,finalizado,,2025-10-07T12:42:32.399558
1580,Encadernação e Finalização,2543.742319,pausado,,2025-10-07T12:42:28.715123
1579,Montagem de Miolo,19004.974208,pausado,,2025-10-07T19:35:53.531731
1579,Encadernação e Finalização,1792.495166,finalizado,,2025-10-07T19:26:27.700025
